,borough_code,borough,Neighborhood,Zip,naics,est,median_income,white_pop,afr_am_pop,asian_pop,nat_am_pacif_pop,other_pop,multi_race_pop,population,Lat,Lng,white_pop_percent,afr_am_pop_percent,asian_pop_percent,nat_am_pacif_pop_percent,other_pop_percent,multi_race_pop_percent
33,1,Brooklyn,Borough Park,11204,713940,2,47341,46888,891,25264,0,0,1305,74348,40.61723,-73.98524,63.1,1.2,33.98,0,0,1.76
34,1,Brooklyn,Borough Park,11218,713940,1,64152,43954,6272,15129,0,0,3061,68416,40.64265,-73.97566,64.2,9.2,22.11,0,0,4.47
35,1,Brooklyn,Borough Park,11219,713940,3,37665,62415,1065,23062,0,0,1115,87657,40.63324,-73.99563,71.2,1.2,26.31,0,0,1.27
36,1,Brooklyn,Borough Park,11230,713940,3,46013,62650,6595,12784,0,0,1773,83802,40.62285,-73.96363,74.8,7.9,15.26,0,0,2.12
3,2,Bronx,Bronx Park and Fordham,10458,713940,2,32129,16315,17243,2330,31,31,3822,39772,40.86302,-73.88909,41,43.4,5.86,0.08,0.08,9.61
4,2,Bronx,Bronx Park and Fordham,10467,713940,5,35381,21948,36295,6120,53,53,3974,68443,40.87356,-73.87147,32.1,53,8.94,0.08,0.08,5.81
5,2,Bronx,Bronx Park and Fordham,10468,713940,1,35398,10362,16180,2735,9,9,3117,32412,40.86638,-73.89984,32,49.9,8.44,0.03,0.03,9.62
59,1,Brooklyn,Bushwick and Williamsburg,11206,713940,8,34122,40751,23547,6028,47,47,3213,73633,40.70175,-73.94388,55.3,32,8.19,0.06,0.06,4.36
60,1,Brooklyn,Bushwick and Williamsburg,11221,713940,2,47170,23617,43466,3135,16,16,2599,72849,40.69107,-73.92792,32.4,59.7,4.3,0.02,0.02,3.57
61,1,Brooklyn,Bushwick and Williamsburg,11237,713940,1,51269,23952,8906,4205,24,24,1600,38711,40.70188,-73.91955,61.9,23,10.86,0.06,0.06,4.13
37,1,Brooklyn,Canarsie and Flatlands,11234,713940,7,79490,41216,45387,5926,9,9,1428,93975,40.62185,-73.92252,43.9,48.3,6.31,0.01,0.01,1.52
38,1,Brooklyn,Canarsie and Flatlands,11236,713940,3,63700,5973,87124,2767,0,0,1132,96996,40.6417,-73.90304,6.2,89.8,2.85,0,0,1.17
0,2,Bronx,Central Bronx,10453,713940,1,24421,7514,26277,1472,41,41,1929,37274,40.85226,-73.91093,20.2,70.5,3.95,0.11,0.11,5.18
25,1,Brooklyn,Central Brooklyn,11212,713940,1,25677,5428,68660,988,8,8,1733,76825,40.66188,-73.9154,7.1,89.4,1.29,0.01,0.01,2.26
26,1,Brooklyn,Central Brooklyn,11213,713940,2,40604,14378,44560,1627,0,0,1944,62509,40.67098,-73.93595,23,71.3,2.6,0,0,3.11
27,1,Brooklyn,Central Brooklyn,11216,713940,3,56025,15019,34693,2781,16,16,2199,54724,40.68005,-73.94939,27.4,63.4,5.08,0.03,0.03,4.02
29,1,Brooklyn,Central Brooklyn,11238,713940,8,79013,23996,22640,3300,19,19,2823,52797,40.6798,-73.96348,45.4,42.9,6.25,0.04,0.04,5.35
62,3,Manhattan,Central Harlem,10026,713940,3,54349,11031,21223,2254,31,31,1385,35955,40.80484,-73.95284,30.7,59,6.27,0.09,0.09,3.85
63,3,Manhattan,Central Harlem,10027,713940,4,45536,20531,26358,6187,5,5,2490,55576,40.81092,-73.9521,36.9,47.4,11.13,0.01,0.01,4.48
64,3,Manhattan,Central Harlem,10030,713940,1,36118,4713,20007,535,65,65,1785,27170,40.81832,-73.94277,17.3,73.6,1.97,0.24,0.24,6.57
65,3,Manhattan,Central Harlem,10037,713940,2,39979,2137,15537,520,23,23,1165,19405,40.81291,-73.93801,11,80.1,2.68,0.12,0.12,6
66,3,Manhattan,Central Harlem,10039,713940,1,34197,3592,17202,504,10,10,1209,22527,40.82538,-73.93825,15.9,76.4,2.24,0.04,0.04,5.37
116,4,Queens,Central Queens,11365,713940,4,63455,16089,3454,20339,16,16,1596,41510,40.73758,-73.79633,38.8,8.3,49,0.04,0.04,3.84
117,4,Queens,Central Queens,11366,713940,2,67115,5902,806,6734,0,0,444,13886,40.72684,-73.79738,42.5,5.8,48.49,0,0,3.2
118,4,Queens,Central Queens,11367,713940,1,58924,24400,3502,11519,0,0,1863,41284,40.7261,-73.81891,59.1,8.5,27.9,0,0,4.51
67,3,Manhattan,Chelsea and Clinton,10001,713940,20,85221,14923,2626,5242,5,5,527,23328,40.74949,-73.98935,64,11.3,22.47,0.02,0.02,2.26
68,3,Manhattan,Chelsea and Clinton,10011,713940,33,123208,39858,2748,5289,4,4,1459,49362,40.74076,-73.99875,80.7,5.6,10.71,0.01,0.01,2.96
69,3,Manhattan,Chelsea and Clinton,10018,713940,13,107861,5711,576,2847,0,0,411,9545,40.75352,-73.98917,59.8,6,29.83,0,0,4.31
70,3,Manhattan,Chelsea and Clinton,10019,713940,29,99063,28668,2551,6850,53,53,1486,39661,40.76498,-73.98447,72.3,6.4,17.27,0.13,0.13,3.75
71,3,Manhattan,Chelsea and Clinton,10020,713940,2,-666666666,0,0,0,0,0,0,0,40.75887,-73.97961,0,0,0,0,0,0
72,3,Manhattan,Chelsea and Clinton,10036,713940,22,93707,17332,2049,5083,0,0,587,25051,40.75918,-73.9884,69.2,8.2,20.29,0,0,2.34
73,3,Manhattan,East Harlem,10029,713940,2,34015,26938,24772,7717,188,188,2652,62455,40.79204,-73.94433,43.1,39.7,12.36,0.3,0.3,4.25
74,3,Manhattan,East Harlem,10035,713940,2,27932,7505,14127,1830,37,37,1489,25025,40.80136,-73.93806,30,56.5,7.31,0.15,0.15,5.95
53,1,Brooklyn,East New York and New Lots,11207,713940,1,35809,12852,60551,1509,117,117,2288,77434,40.67151,-73.89541,16.6,78.2,1.95,0.15,0.15,2.95
49,1,Brooklyn,Flatbush,11203,713940,1,48140,3208,67853,1309,11,11,1222,73614,40.65205,-73.93485,4.4,92.2,1.78,0.01,0.01,1.66
50,1,Brooklyn,Flatbush,11210,713940,3,62202,20785,40809,3031,0,0,1273,65898,40.63041,-73.94665,31.5,61.9,4.6,0,0,1.93
51,1,Brooklyn,Flatbush,11225,713940,1,51926,15148,39470,1590,65,65,1232,57570,40.6632,-73.95423,26.3,68.6,2.76,0.11,0.11,2.14
52,1,Brooklyn,Flatbush,11226,713940,5,48495,14638,70292,3458,0,0,2795,91183,40.64727,-73.9571,16.1,77.1,3.79,0,0,3.07
75,3,Manhattan,Gramercy Park and Murray Hill,10010,713940,32,115084,24676,1926,4903,0,0,1132,32637,40.73885,-73.98504,75.6,5.9,15.02,0,0,3.47
76,3,Manhattan,Gramercy Park and Murray Hill,10016,713940,23,109250,36391,1780,10475,20,20,2065,50751,40.74594,-73.97955,71.7,3.5,20.64,0.04,0.04,4.07
77,3,Manhattan,Gramercy Park and Murray Hill,10017,713940,16,118469,12477,353,3241,5,5,237,16318,40.75304,-73.97497,76.5,2.2,19.86,0.03,0.03,1.45
78,3,Manhattan,Gramercy Park and Murray Hill,10022,713940,34,133208,26014,459,3431,0,0,600,30504,40.75938,-73.9751,85.3,1.5,11.25,0,0,1.97
55,1,Brooklyn,Greenpoint,11211,713940,8,66113,76636,6581,5924,19,19,2646,91825,40.71164,-73.95416,83.5,7.2,6.45,0.02,0.02,2.88
56,1,Brooklyn,Greenpoint,11222,713940,6,78287,30102,1449,2174,9,9,1455,35198,40.72766,-73.9498,85.5,4.1,6.18,0.03,0.03,4.13
79,3,Manhattan,Greenwich Village and Soho,10012,713940,22,104561,18138,761,4188,21,21,1061,24190,40.72563,-73.99833,75,3.1,17.31,0.09,0.09,4.39
80,3,Manhattan,Greenwich Village and Soho,10013,713940,25,106056,15957,1325,10358,0,0,1374,29014,40.7174,-73.9989,55,4.6,35.7,0,0,4.74
81,3,Manhattan,Greenwich Village and Soho,10014,713940,13,127973,28289,434,1789,0,0,780,31292,40.73381,-74.00505,90.4,1.4,5.72,0,0,2.49
6,2,Bronx,High Bridge and Morrisania,10451,713940,3,26979,5705,19097,907,53,53,1849,27664,40.82227,-73.92075,20.6,69,3.28,0.19,0.19,6.68
7,2,Bronx,High Bridge and Morrisania,10452,713940,1,27206,9144,24530,1085,35,35,2997,37826,40.83744,-73.92133,24.2,64.8,2.87,0.09,0.09,7.92
8,2,Bronx,High Bridge and Morrisania,10456,713940,2,26724,8974,39818,1180,106,106,2777,52961,40.83086,-73.90977,16.9,75.2,2.23,0.2,0.2,5.24
9,2,Bronx,Hunts Point and Mott Haven,10454,713940,1,21542,4899,11047,176,14,14,1269,17419,40.80767,-73.91866,28.1,63.4,1.01,0.08,0.08,7.29
10,2,Bronx,Hunts Point and Mott Haven,10455,713940,3,25489,4878,12488,408,68,68,1089,18999,40.81524,-73.90794,25.7,65.7,2.15,0.36,0.36,5.73
11,2,Bronx,Hunts Point and Mott Haven,10459,713940,1,25762,5829,16754,353,0,0,1109,24045,40.82528,-73.89411,24.2,69.7,1.47,0,0,4.61
100,3,Manhattan,Inwood and Washington Heights,10031,713940,1,44040,19676,18827,2456,8,8,10462,51437,40.82518,-73.94904,38.3,36.6,4.77,0.02,0.02,20.34
101,3,Manhattan,Inwood and Washington Heights,10032,713940,2,41890,19503,12804,2772,88,88,6570,41825,40.83798,-73.94135,46.6,30.6,6.63,0.21,0.21,15.71
102,3,Manhattan,Inwood and Washington Heights,10033,713940,4,53044,25298,6049,1136,58,58,5025,37624,40.84971,-73.93579,67.2,16.1,3.02,0.15,0.15,13.36
103,3,Manhattan,Inwood and Washington Heights,10034,713940,2,50909,16299,4714,995,99,99,2430,24636,40.86668,-73.92149,66.2,19.1,4.04,0.4,0.4,9.86
104,3,Manhattan,Inwood and Washington Heights,10040,713940,1,47189,16319,4590,1201,0,0,2753,24863,40.85808,-73.92994,65.6,18.5,4.83,0,0,11.07
121,4,Queens,Jamaica,11432,713940,3,52975,14385,10167,26636,98,98,2890,54274,40.71184,-73.79366,26.5,18.7,49.08,0.18,0.18,5.32
122,4,Queens,Jamaica,11433,713940,1,48795,1144,24343,2599,9,9,1089,29193,40.69756,-73.7884,3.9,83.4,8.9,0.03,0.03,3.73
123,4,Queens,Jamaica,11434,713940,1,60702,1891,58526,1390,0,0,1262,63069,40.67631,-73.77527,3,92.8,2.2,0,0,2
13,2,Bronx,Kingsbridge and Riverdale,10463,713940,10,58881,31955,11285,2442,110,110,4012,49914,40.88134,-73.90593,64,22.6,4.89,0.22,0.22,8.04
14,2,Bronx,Kingsbridge and Riverdale,10471,713940,1,80932,15240,2313,1520,0,0,764,19837,40.90142,-73.90338,76.8,11.7,7.66,0,0,3.85
88,3,Manhattan,Lower East Side,10002,713940,7,35449,24502,5817,33675,5,5,2697,66701,40.71843,-73.99444,36.7,8.7,50.49,0.01,0.01,4.04
89,3,Manhattan,Lower East Side,10003,713940,22,104441,42881,2245,7246,53,53,1265,53743,40.72452,-73.99119,79.8,4.2,13.48,0.1,0.1,2.35
90,3,Manhattan,Lower East Side,10009,713940,5,60521,36482,5286,8046,36,36,1988,51874,40.72626,-73.98086,70.3,10.2,15.51,0.07,0.07,3.83
82,3,Manhattan,Lower Manhattan,10004,713940,5,140450,2060,34,790,10,10,65,2969,40.70538,-74.01139,69.4,1.1,26.61,0.34,0.34,2.19
83,3,Manhattan,Lower Manhattan,10005,713940,9,154213,6494,270,1404,0,0,320,8488,40.70602,-74.00887,76.5,3.2,16.54,0,0,3.77
84,3,Manhattan,Lower Manhattan,10006,713940,1,145893,2490,60,662,0,0,254,3466,40.70771,-74.01316,71.8,1.7,19.1,0,0,7.33
85,3,Manhattan,Lower Manhattan,10007,713940,9,242644,5110,385,955,0,0,457,6907,40.71388,-74.00802,74,5.6,13.83,0,0,6.62
