"","Zip","WhitePop","AfrAmPop","AsianPop","NativeAmPacificPop","OtherPop","MultiRacePop","LatPop","AlaskanAmerIndPop"
0,"10453","761","26277","1472","41","44501","1929","56561","498"
1,"10457","1340","30113","929","50","32227","2232","48066","324"
2,"10460","1482","17635","784","34","31713","1820","43277","106"
3,"10458","7743","17243","2330","31","45028","3822","58883","388"
4,"10467","9398","36295","6120","53","33647","3974","53713","681"
5,"10468","2582","16180","2735","9","44433","3117","57663","821"
6,"10451","1290","19097","907","53","20386","1849","27981","243"
7,"10452","1111","24530","1085","35","40041","2997","54067","151"
8,"10456","1225","39818","1180","106","40675","2777","57047","1137"
9,"10454","1051","11047","176","14","20865","1269","26881","384"
10,"10455","475","12488","408","68","23374","1089","31043","253"
11,"10459","660","16754","353","0","24590","1109","33398","260"
12,"10474","97","4468","1","67","6774","327","8609","46"
13,"10463","23370","11285","2442","110","22672","4012","36587","387"
14,"10471","13174","2313","1520","0","2158","764","4848","45"
15,"10466","2109","53315","2181","82","8425","1811","16681","616"
16,"10469","8109","40353","4495","171","11767","2022","20217","699"
17,"10470","5904","5218","555","0","1632","415","2908","7"
18,"10475","3104","26724","653","0","7880","1664","14128","254"
19,"10461","17795","4689","6005","45","13681","1869","22873","212"
20,"10462","9378","21810","10074","20","24253","3951","37842","600"
21,"10464","2984","79","206","0","617","14","1259","0"
22,"10465","19834","5188","1513","7","9159","1405","18595","43"
23,"10472","1756","19962","4012","0","28603","3238","43710","962"
24,"10473","1468","24898","1179","0","10023","2081","38195","519"
25,"11212","1116","68660","988","8","5800","1733","14713","214"
26,"11213","13513","44560","1627","0","3830","1944","7583","164"
27,"11216","13402","34693","2781","16","2446","2199","6219","256"
28,"11233","4838","59043","1360","0","6787","1676","12091","106"
29,"11238","22057","22640","3300","19","2587","2823","6191","33"
30,"11209","44924","1618","9055","35","3983","2280","11053","200"
31,"11214","43140","1404","35001","12","7400","1724","13388","221"
32,"11228","23581","405","14861","34","2042","778","5461","111"
33,"11204","44299","891","25264","0","5544","1305","8330","164"
34,"11218","38915","6272","15129","0","8240","3061","14247","304"
35,"11219","57660","1065","23062","0","6066","1115","11753","256"
36,"11230","59782","6595","12784","0","6118","1773","9245","337"
37,"11234","37070","45387","5926","9","3654","1428","9913","121"
38,"11236","4450","87124","2767","0","3188","1132","6638","449"
39,"11239","2585","7950","375","0","387","192","2214","127"
40,"11223","44117","3684","19523","138","6363","1932","11958","361"
41,"11224","23308","10657","2673","24","4470","1150","8562","101"
42,"11229","51339","4860","19088","76","3485","1578","9666","168"
43,"11235","58171","2046","11422","0","3144","1793","7020","269"
44,"11201","36220","8353","7233","134","3037","3316","7627","124"
45,"11205","18317","14864","3499","7","4120","1634","8333","54"
46,"11215","47287","3081","5488","0","4098","4444","12166","167"
47,"11217","20519","7685","3010","23","4037","1661","7251","42"
48,"11231","22187","5023","1951","0","3232","2067","7747","223"
49,"11203","2818","67853","1309","11","2302","1222","4699","84"
50,"11210","19423","40809","3031","0","3016","1273","5388","74"
51,"11225","13661","39470","1590","65","1946","1232","5196","46"
52,"11226","11327","70292","3458","0","11225","2795","18225","177"
53,"11207","3336","60551","1509","117","14809","2288","29972","454"
54,"11208","2661","53884","6013","113","12597","1961","39971","285"
55,"11211","64524","6581","5924","19","9348","2646","24750","406"
56,"11222","26941","1449","2174","9","1588","1455","5124","68"
57,"11220","13911","2369","41798","0","25149","2376","42017","546"
58,"11232","5809","1730","5550","19","8325","1608","15371","423"
59,"11206","28701","23547","6028","47","13557","3213","33857","624"
60,"11221","11821","43466","3135","16","11085","2599","30934","618"
61,"11237","9789","8906","4205","24","13274","1600","33492","358"
62,"10026","8184","21223","2254","31","4076","1385","8694","105"
63,"10027","17126","26358","6187","5","9387","2490","15761","407"
64,"10030","3068","20007","535","65","3028","1785","7679","30"
65,"10037","1188","15537","520","23","1796","1165","4977","6"
66,"10039","1693","17202","504","10","4423","1209","8322","263"
67,"10001","12349","2626","5242","5","565","527","3452","59"
68,"10011","35997","2748","5289","4","1285","1459","5640","68"
69,"10018","4439","576","2847","0","173","411","1611","1"
70,"10019","24189","2551","6850","53","1839","1486","6697","145"
71,"10020","0","0","0","0","0","0","0","0"
72,"10036","14393","2049","5083","0","1688","587","5271","129"
73,"10029","12508","24772","7717","188","18378","2652","38610","221"
74,"10035","3645","14127","1830","37","10081","1489","16706","297"
75,"10010","21184","1926","4903","0","296","1132","4223","186"
76,"10016","32397","1780","10475","20","648","2065","4827","69"
77,"10017","11397","353","3241","5","75","237","1148","0"
78,"10022","24318","459","3431","0","245","600","1922","58"
79,"10012","16992","761","4188","21","321","1061","1609","37"
80,"10013","14966","1325","10358","0","563","1374","1804","42"
81,"10014","26813","434","1789","0","471","780","1989","31"
82,"10004","1882","34","790","10","31","65","222","0"
83,"10005","6200","270","1404","0","192","320","527","0"
84,"10006","2303","60","662","0","113","254","439","0"
85,"10007","4753","385","955","0","129","457","626","0"
86,"10038","10020","2176","7622","0","732","573","2608","76"
87,"10280","6657","172","1835","0","161","306","856","0"
88,"10002","16208","5817","33675","5","10713","2697","21350","516"
89,"10003","40150","2245","7246","53","1221","1265","4358","124"
90,"10009","29968","5286","8046","36","8216","1988","15539","87"
91,"10021","34829","550","4756","112","1720","1232","3512","219"
92,"10028","40971","688","4516","0","267","1080","3295","36"
93,"10044","4734","1589","3650","0","406","495","1619","0"
94,"10065","24551","694","2200","0","116","328","1843","27"
95,"10075","17774","292","960","0","1007","580","3202","0"
96,"10128","44357","2747","6176","0","1515","2498","7867","7"
97,"10023","44309","2266","6762","18","1861","1435","6730","81"
98,"10024","44643","2724","4050","0","1650","1574","6260","0"
