zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
10001,713940,20,9,1,3,5,2,0,0,0,0
10002,713940,7,3,0,3,0,0,1,0,0,0
10003,713940,22,5,2,6,3,4,2,0,0,0
10004,713940,5,2,0,1,1,1,0,0,0,0
10005,713940,9,0,0,3,3,2,1,0,0,0
10006,713940,1,1,0,0,0,0,0,0,0,0
10007,713940,9,2,2,1,3,0,1,0,0,0
10009,713940,5,1,2,1,0,1,0,0,0,0
10010,713940,32,12,6,3,4,6,1,0,0,0
10011,713940,33,11,0,5,11,1,4,0,1,0
10012,713940,22,10,0,2,8,0,2,0,0,0
10013,713940,25,11,3,3,7,0,1,0,0,0
10014,713940,13,3,1,2,4,1,2,0,0,0
10016,713940,23,10,3,2,6,1,1,0,0,0
10017,713940,16,4,2,3,4,1,1,1,0,0
10018,713940,13,0,5,3,5,0,0,0,0,0
10019,713940,29,6,4,4,6,4,3,2,0,0
10020,713940,2,1,0,0,1,0,0,0,0,0
10021,713940,18,2,6,4,2,2,1,0,0,1
10022,713940,34,18,2,2,6,4,2,0,0,0
10023,713940,23,8,2,6,4,1,1,1,0,0
10024,713940,17,6,3,2,1,3,2,0,0,0
10025,713940,11,3,1,3,3,0,1,0,0,0
10026,713940,3,0,0,0,3,0,0,0,0,0
10027,713940,4,2,0,0,2,0,0,0,0,0
10028,713940,14,2,4,1,3,2,2,0,0,0
10029,713940,2,0,1,0,1,0,0,0,0,0
10030,713940,1,1,0,0,0,0,0,0,0,0
10031,713940,1,0,1,0,0,0,0,0,0,0
10032,713940,2,0,0,1,1,0,0,0,0,0
10033,713940,4,2,1,0,1,0,0,0,0,0
10034,713940,2,1,1,0,0,0,0,0,0,0
10035,713940,2,1,0,0,0,0,1,0,0,0
10036,713940,22,7,2,8,2,1,1,1,0,0
10037,713940,2,0,0,1,1,0,0,0,0,0
10038,713940,8,3,0,1,4,0,0,0,0,0
10039,713940,1,0,0,0,1,0,0,0,0,0
10040,713940,1,0,0,0,0,0,1,0,0,0
10044,713940,2,1,0,0,1,0,0,0,0,0
10065,713940,10,4,1,1,1,1,2,0,0,0
10075,713940,6,2,1,2,1,0,0,0,0,0
10128,713940,18,5,4,4,2,1,1,1,0,0
10280,713940,3,1,1,1,0,0,0,0,0,0
10301,713940,2,1,0,0,1,0,0,0,0,0
10302,713940,3,2,0,1,0,0,0,0,0,0
10304,713940,1,1,0,0,0,0,0,0,0,0
10306,713940,7,6,0,0,1,0,0,0,0,0
10307,713940,1,1,0,0,0,0,0,0,0,0
10308,713940,2,1,1,0,0,0,0,0,0,0
10309,713940,13,9,1,1,2,0,0,0,0,0
10310,713940,1,0,0,0,0,0,0,1,0,0
10312,713940,3,0,0,1,1,0,1,0,0,0
10314,713940,10,2,3,1,3,1,0,0,0,0
10451,713940,3,1,0,1,1,0,0,0,0,0
10452,713940,1,0,1,0,0,0,0,0,0,0
10453,713940,1,1,0,0,0,0,0,0,0,0
10454,713940,1,0,0,1,0,0,0,0,0,0
10455,713940,3,1,0,1,1,0,0,0,0,0
10456,713940,2,0,0,1,1,0,0,0,0,0
10458,713940,2,0,0,1,0,1,0,0,0,0
10459,713940,1,0,0,0,1,0,0,0,0,0
10461,713940,5,3,0,0,0,1,1,0,0,0
10462,713940,3,0,1,1,0,1,0,0,0,0
10463,713940,10,4,1,0,3,2,0,0,0,0
10465,713940,5,4,1,0,0,0,0,0,0,0
10467,713940,5,2,2,0,1,0,0,0,0,0
10468,713940,1,0,0,1,0,0,0,0,0,0
10471,713940,1,1,0,0,0,0,0,0,0,0
10473,713940,1,0,0,0,0,0,1,0,0,0
11004,713940,1,1,0,0,0,0,0,0,0,0
11101,713940,14,1,4,4,2,2,1,0,0,0
11102,713940,4,4,0,0,0,0,0,0,0,0
11103,713940,7,4,0,1,1,1,0,0,0,0
11104,713940,3,2,0,0,1,0,0,0,0,0
11105,713940,3,0,0,1,1,1,0,0,0,0
11106,713940,1,0,0,0,0,1,0,0,0,0
11201,713940,26,7,6,4,5,2,2,0,0,0
11203,713940,1,0,0,0,1,0,0,0,0,0
11204,713940,2,2,0,0,0,0,0,0,0,0
11205,713940,4,3,1,0,0,0,0,0,0,0
11206,713940,8,5,1,1,1,0,0,0,0,0
11207,713940,1,1,0,0,0,0,0,0,0,0
11209,713940,7,2,1,1,2,1,0,0,0,0
11210,713940,3,0,0,1,1,1,0,0,0,0
11211,713940,8,3,1,2,2,0,0,0,0,0
11212,713940,1,1,0,0,0,0,0,0,0,0
11213,713940,2,1,0,1,0,0,0,0,0,0
11214,713940,5,1,0,1,2,0,1,0,0,0
11215,713940,15,5,1,0,6,2,0,1,0,0
11216,713940,3,1,0,1,0,0,1,0,0,0
11217,713940,8,4,1,2,1,0,0,0,0,0
11218,713940,1,1,0,0,0,0,0,0,0,0
11219,713940,3,3,0,0,0,0,0,0,0,0
11220,713940,2,2,0,0,0,0,0,0,0,0
11221,713940,2,1,0,1,0,0,0,0,0,0
11222,713940,6,4,1,1,0,0,0,0,0,0
11223,713940,11,6,1,0,3,1,0,0,0,0
11224,713940,3,1,0,1,0,1,0,0,0,0
11225,713940,1,1,0,0,0,0,0,0,0,0
11226,713940,5,2,0,1,2,0,0,0,0,0
11228,713940,2,1,1,0,0,0,0,0,0,0
11229,713940,6,3,0,0,2,0,1,0,0,0
11230,713940,3,2,1,0,0,0,0,0,0,0
11231,713940,6,5,0,0,1,0,0,0,0,0
11234,713940,7,4,0,2,0,0,1,0,0,0
11235,713940,7,5,0,1,1,0,0,0,0,0
11236,713940,3,1,0,0,1,1,0,0,0,0
11237,713940,1,0,0,1,0,0,0,0,0,0
11238,713940,8,4,2,0,1,1,0,0,0,0
11354,713940,6,3,1,2,0,0,0,0,0,0
11355,713940,4,2,1,0,1,0,0,0,0,0
11356,713940,1,0,0,1,0,0,0,0,0,0
11357,713940,5,2,0,1,1,0,1,0,0,0
11358,713940,6,5,0,0,0,1,0,0,0,0
11360,713940,3,2,0,0,1,0,0,0,0,0
11361,713940,6,3,0,2,1,0,0,0,0,0
11362,713940,1,0,0,0,0,1,0,0,0,0
11364,713940,1,1,0,0,0,0,0,0,0,0
11365,713940,4,1,2,0,1,0,0,0,0,0
11366,713940,2,0,1,1,0,0,0,0,0,0
11367,713940,1,1,0,0,0,0,0,0,0,0
11368,713940,4,3,0,0,0,1,0,0,0,0
11372,713940,5,4,0,0,1,0,0,0,0,0
11373,713940,1,0,0,0,1,0,0,0,0,0
11374,713940,5,4,0,0,1,0,0,0,0,0
11375,713940,12,5,0,3,1,2,0,1,0,0
11377,713940,5,0,4,0,1,0,0,0,0,0
11378,713940,2,1,1,0,0,0,0,0,0,0
11385,713940,7,2,0,3,1,1,0,0,0,0
11411,713940,1,1,0,0,0,0,0,0,0,0
11413,713940,1,0,1,0,0,0,0,0,0,0
11414,713940,4,1,0,2,1,0,0,0,0,0
11415,713940,4,3,0,0,1,0,0,0,0,0
11416,713940,2,2,0,0,0,0,0,0,0,0
11417,713940,1,0,1,0,0,0,0,0,0,0
11418,713940,2,0,1,1,0,0,0,0,0,0
11420,713940,2,2,0,0,0,0,0,0,0,0
11421,713940,1,1,0,0,0,0,0,0,0,0
11422,713940,1,0,1,0,0,0,0,0,0,0
11426,713940,2,1,0,0,0,0,0,1,0,0
11427,713940,1,0,1,0,0,0,0,0,0,0
11432,713940,3,1,0,1,0,0,1,0,0,0
11433,713940,1,0,0,1,0,0,0,0,0,0
11434,713940,1,0,0,0,1,0,0,0,0,0
11691,713940,2,1,0,1,0,0,0,0,0,0
11692,713940,1,0,0,0,0,0,1,0,0,0
11694,713940,2,1,1,0,0,0,0,0,0,0
