Zip,Median Income
10453,24421
10457,27036
10460,25948
10458,32129
10467,35381
10468,35398
10451,26979
10452,27206
10456,26724
10454,21542
10455,25489
10459,25762
10474,25896
10463,58881
10471,80932
10466,49906
10469,61090
10470,56658
10475,48734
10461,55847
10462,49962
10464,87853
10465,74079
10472,30593
10473,38924
11212,25677
11213,40604
11216,56025
11233,36009
11238,79013
11209,69578
11214,53151
11228,63697
11204,47341
11218,64152
11219,37665
11230,46013
11234,79490
11236,63700
11239,26002
11223,46310
11224,31630
11229,59287
11235,49653
11201,116446
11205,51574
11215,116893
11217,99085
11231,93575
11203,48140
11210,62202
11225,51926
11226,48495
11207,35809
11208,39588
11211,66113
11222,78287
11220,42559
11232,53908
11206,34122
11221,47170
11237,51269
10026,54349
10027,45536
10030,36118
10037,39979
10039,34197
10001,85221
10011,123208
10018,107861
10019,99063
10020,-666666666
10036,93707
10029,34015
10035,27932
10010,115084
10016,109250
10017,118469
10022,133208
10012,104561
10013,106056
10014,127973
10004,140450
10005,154213
10006,145893
10007,242644
10038,85032
10280,161419
10002,35449
10003,104441
10009,60521
10021,123842
10028,119203
10044,92623
10065,124322
10075,129594
10128,111937
10023,123951
10024,126107
10025,82352
10031,44040
10032,41890
10033,53044
10034,50909
10040,47189
11361,82020
11362,80828
11363,97784
11364,71030
11354,44512
11355,38370
11356,59712
11357,81053
11358,65932
11359,-666666666
11360,84476
11365,63455
11366,67115
11367,58924
11412,75307
11423,66455
11432,52975
11433,48795
11434,60702
11435,59535
11436,69259
11101,57866
11102,60436
11103,65229
11104,63122
11105,68050
11106,60725
11374,56863
11375,76467
11379,79573
11385,64481
11691,42434
11692,45816
11693,57443
11694,77547
11695,0
11697,99792
11004,93315
11005,51801
11411,87231
11413,83459
11422,86996
11426,83376
11427,72874
11428,71663
11429,80464
11414,72632
11415,65981
11416,61285
11417,69989
11418,67003
11419,65711
11420,66220
11421,69053
11368,47862
11369,53426
11370,59901
11372,53963
11373,49098
11377,54989
11378,68460
10302,60968
10303,59898
10310,69838
10306,80025
10307,81356
10308,91953
10309,100343
10312,90797
10301,55818
10304,54567
10305,76044
10314,80956
