"","Zip Code","White Pop","Afr Am Pop","Asian Pop","Native Am Pacific Pop","Other Pop","Multi Race Pop"
0,"10453","7514","26277","1472","41","41","1929"
1,"10457","9793","30113","929","50","50","2232"
2,"10460","8680","17635","784","34","34","1820"
3,"10458","16315","17243","2330","31","31","3822"
4,"10467","21948","36295","6120","53","53","3974"
5,"10468","10362","16180","2735","9","9","3117"
6,"10451","5705","19097","907","53","53","1849"
7,"10452","9144","24530","1085","35","35","2997"
8,"10456","8974","39818","1180","106","106","2777"
9,"10454","4899","11047","176","14","14","1269"
10,"10455","4878","12488","408","68","68","1089"
11,"10459","5829","16754","353","0","0","1109"
12,"10474","925","4468","1","67","67","327"
13,"10463","31955","11285","2442","110","110","4012"
14,"10471","15240","2313","1520","0","0","764"
15,"10466","7139","53315","2181","82","82","1811"
16,"10469","13501","40353","4495","171","171","2022"
17,"10470","6765","5218","555","0","0","415"
18,"10475","7066","26724","653","0","0","1664"
19,"10461","24520","4689","6005","45","45","1869"
20,"10462","18480","21810","10074","20","20","3951"
21,"10464","3601","79","206","0","0","14"
22,"10465","26954","5188","1513","7","7","1405"
23,"10472","12147","19962","4012","0","0","3238"
24,"10473","23831","24898","1179","0","0","2081"
25,"11212","5428","68660","988","8","8","1733"
26,"11213","14378","44560","1627","0","0","1944"
27,"11216","15019","34693","2781","16","16","2199"
28,"11233","6010","59043","1360","0","0","1676"
29,"11238","23996","22640","3300","19","19","2823"
30,"11209","50779","1618","9055","35","35","2280"
31,"11214","48521","1404","35001","12","12","1724"
32,"11228","26445","405","14861","34","34","778"
33,"11204","46888","891","25264","0","0","1305"
34,"11218","43954","6272","15129","0","0","3061"
35,"11219","62415","1065","23062","0","0","1115"
36,"11230","62650","6595","12784","0","0","1773"
37,"11234","41216","45387","5926","9","9","1428"
38,"11236","5973","87124","2767","0","0","1132"
39,"11239","3682","7950","375","0","0","192"
40,"11223","48854","3684","19523","138","138","1932"
41,"11224","26169","10657","2673","24","24","1150"
42,"11229","56521","4860","19088","76","76","1578"
43,"11235","61548","2046","11422","0","0","1793"
44,"11201","39710","8353","7233","134","134","3316"
45,"11205","20970","14864","3499","7","7","1634"
46,"11215","53737","3081","5488","0","0","4444"
47,"11217","23229","7685","3010","23","23","1661"
48,"11231","25184","5023","1951","0","0","2067"
49,"11203","3208","67853","1309","11","11","1222"
50,"11210","20785","40809","3031","0","0","1273"
51,"11225","15148","39470","1590","65","65","1232"
52,"11226","14638","70292","3458","0","0","2795"
53,"11207","12852","60551","1509","117","117","2288"
54,"11208","24292","53884","6013","113","113","1961"
55,"11211","76636","6581","5924","19","19","2646"
56,"11222","30102","1449","2174","9","9","1455"
57,"11220","28174","2369","41798","0","0","2376"
58,"11232","11337","1730","5550","19","19","1608"
59,"11206","40751","23547","6028","47","47","3213"
60,"11221","23617","43466","3135","16","16","2599"
61,"11237","23952","8906","4205","24","24","1600"
62,"10026","11031","21223","2254","31","31","1385"
63,"10027","20531","26358","6187","5","5","2490"
64,"10030","4713","20007","535","65","65","1785"
65,"10037","2137","15537","520","23","23","1165"
66,"10039","3592","17202","504","10","10","1209"
67,"10001","14923","2626","5242","5","5","527"
