Zip,WhitePop,AfrAmPop,AsianPop,NativeAmPacificPop,OtherPop,MultiRacePop,LatPop,AlaskanAmerIndPop,TotalPop
10453,761,22623,1411,7,308,452,56561,109,82232
10457,1340,24110,913,18,285,819,48066,117,75668
10460,1482,14718,773,23,256,243,43277, -   ,60772
10458,7743,14946,2177,31,339,963,58883,75,85157
10467,9398,31693,6056, -   ,636,1091,53713,131,102718
10468,2582,13133,2684, -   ,466,738,57663,391,77657
10451,1290,17258,885,53,186,455,27981,132,48240
10452,1111,20650,1035,35,504,544,54067,37,77983
10456,1225,33433,1155, -   ,470,634,57047,703,94667
10454,1051,10012,120, -   ,151,218,26881,221,38654
10455,475,10305,389,68,35,163,31043,80,42558
10459,660,13934,329, -   ,196,247,33398,131,48895
10474,97,3852, -   , -   ,30,8,8609,12,12608
10463,23370,8534,2408,62,548,1116,36587,238,72863
10471,13174,1967,1501, -   ,170,380,4848, -   ,22040
10466,2109,50722,2172,57,766,933,16681,129,73569
10469,8109,38340,4431,105,500,913,20217,393,73008
10470,5904,4969,555, -   ,48,208,2908, -   ,14592
10475,3104,24815,648, -   ,896,640,14128,10,44241
10461,17795,3877,5815,41,111,455,22873,54,51021
10462,9378,19290,10053, -   ,779,1668,37842,178,79188
10464,2984,45,206, -   ,23, -   ,1259, -   ,4517
10465,19834,3903,1503,7,136,248,18595,43,44269
10472,1756,17132,3991, -   ,868,1239,43710,228,68924
10473,1468,20822,1052, -   ,312,499,38195,183,62531
11212,1116,64796,975,8,409,679,14713,135,82831
11213,13513,42082,1574, -   ,337,1313,7583,101,66503
11216,13402,33230,2763, -   ,284,1412,6219,100,57410
11233,4838,55447,1294, -   ,80,1184,12091,48,74982
11238,22057,21170,3276,11,342,2318,6191,33,55398
11209,44924,1425,9000,35,144,1309,11053,60,67950
11214,43140,1131,34907,12,298,1309,13388,98,94283
11228,23581,298,14759,34,61,408,5461,74,44676
11204,44299,818,25131, -   ,227,1127,8330,124,80056
11218,38915,6059,15033, -   ,293,2358,14247,55,76960
11219,57660,886,22982, -   ,73,487,11753,138,93979
11230,59782,6435,12708, -   ,419,1360,9245,308,90257
11234,37070,43346,5867,9,376,1082,9913,78,97741
11236,4450,85098,2733, -   ,413,930,6638,371,100633
11239,2585,7372,358, -   , -   ,74,2214,110,12713
11223,44117,3078,19470,132,293,1633,11958,174,80855
11224,23308,9887,2654,9,241,482,8562,101,45244
11229,51339,4214,18975,76,133,1364,9666,9,85776
11235,58171,1818,11378, -   ,184,1389,7020,262,80222
11201,36220,7774,7204,59,167,2835,7627,21,61907
11205,18317,13805,3461,7,134,1054,8333,37,45148
11215,47287,2480,5409, -   ,495,3095,12166,83,71015
11217,20519,7401,2965,23,229,1298,7251,1,39687
11231,22187,4380,1868, -   ,272,1226,7747, -   ,37680
11203,2818,65818,1309, -   ,150,1120,4699,75,75989
11210,19423,39568,2987, -   ,487,1098,5388,37,68988
11225,13661,37407,1551,65,498,1073,5196,46,59497
11226,11327,66980,3423, -   ,393,2198,18225,39,102585
11207,3336,55677,1495,82,894,959,29972,165,92580
11208,2661,48430,6013, -   ,902,1117,39971,51,99145
11211,64524,4154,5823,19,402,1730,24750,158,101560
11222,26941,1323,2174,9,247,976,5124,51,36845
11220,13911,1521,41705, -   ,291,822,42017,145,100412
11232,5809,1478,5540,19,95,537,15371,143,28992
11206,28701,17777,5932,47,195,1079,33857,179,87767
11221,11821,36985,3098, -   ,305,1206,30934,187,84536
11237,9789,3840,4107,13,217,754,33492,107,52319
10026,8184,19938,2254, -   ,78,919,8694,38,40105
10027,17126,24513,6131,5,183,1538,15761,108,65365
