est,naics,Zip
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
20,713940,10001
7,713940,10002
7,713940,10002
7,713940,10002
7,713940,10002
7,713940,10002
7,713940,10002
7,713940,10002
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
22,713940,10003
5,713940,10004
5,713940,10004
5,713940,10004
5,713940,10004
5,713940,10004
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
9,713940,10005
1,713940,10006
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
9,713940,10007
5,713940,10009
5,713940,10009
5,713940,10009
5,713940,10009
5,713940,10009
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
32,713940,10010
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
33,713940,10011
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
22,713940,10012
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
25,713940,10013
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
13,713940,10014
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
23,713940,10016
16,713940,10017
16,713940,10017
16,713940,10017
16,713940,10017
16,713940,10017
16,713940,10017
16,713940,10017
16,713940,10017
