"","Zip","Lat","Lng"
0,"10453",40.85226,-73.91093
1,"10457",40.84775,-73.89974
2,"10460",40.84049,-73.88015
3,"10458",40.86302,-73.88909
4,"10467",40.87356,-73.87147
5,"10468",40.86638,-73.89984
6,"10451",40.82227,-73.92075
7,"10452",40.83744,-73.92133
8,"10456",40.83086,-73.90977
9,"10454",40.80767,-73.91866
10,"10455",40.81524,-73.90794
11,"10459",40.82528,-73.89411
12,"10474",40.8148,-73.88752
13,"10463",40.88134,-73.90593
14,"10471",40.90142,-73.90338
15,"10466",40.89083,-73.85141
16,"10469",40.87106,-73.84939
17,"10470",40.90072,-73.86086
18,"10475",40.87319,-73.82719
19,"10461",40.84567,-73.84025
20,"10462",40.84338,-73.85973
21,"10464",40.84821,-73.78746
22,"10465",40.82598,-73.81958
23,"10472",40.82948,-73.87156
24,"10473",40.81926,-73.86059
25,"11212",40.66188,-73.9154
26,"11213",40.67098,-73.93595
27,"11216",40.68005,-73.94939
28,"11233",40.67841,-73.91982
29,"11238",40.6798,-73.96348
30,"11209",40.6243,-74.03
31,"11214",40.60171,-73.99618
32,"11228",40.61853,-74.01112
33,"11204",40.61723,-73.98524
34,"11218",40.64265,-73.97566
35,"11219",40.63324,-73.99563
36,"11230",40.62285,-73.96363
37,"11234",40.62185,-73.92252
38,"11236",40.6417,-73.90304
39,"11239",40.65011,-73.88049
40,"11223",40.59857,-73.97318
41,"11224",40.57709,-73.98646
42,"11229",40.60242,-73.94901
43,"11235",40.58329,-73.95443
44,"11201",40.69378,-73.99131
45,"11205",40.69343,-73.96553
46,"11215",40.66782,-73.98313
47,"11217",40.68204,-73.97848
48,"11231",40.68024,-74.00052
49,"11203",40.65205,-73.93485
50,"11210",40.63041,-73.94665
51,"11225",40.6632,-73.95423
52,"11226",40.64727,-73.9571
53,"11207",40.67151,-73.89541
54,"11208",40.67453,-73.87315
55,"11211",40.71164,-73.95416
56,"11222",40.72766,-73.9498
57,"11220",40.64132,-74.01347
58,"11232",40.65341,-74.00202
59,"11206",40.70175,-73.94388
60,"11221",40.69107,-73.92792
61,"11237",40.70188,-73.91955
62,"10026",40.80484,-73.95284
63,"10027",40.81092,-73.9521
64,"10030",40.81832,-73.94277
65,"10037",40.81291,-73.93801
66,"10039",40.82538,-73.93825
67,"10001",40.74949,-73.98935
68,"10011",40.74076,-73.99875
69,"10018",40.75352,-73.98917
70,"10019",40.76498,-73.98447
71,"10020",40.75887,-73.97961
72,"10036",40.75918,-73.9884
73,"10029",40.79204,-73.94433
74,"10035",40.80136,-73.93806
75,"10010",40.73885,-73.98504
76,"10016",40.74594,-73.97955
77,"10017",40.75304,-73.97497
78,"10022",40.75938,-73.9751
79,"10012",40.72563,-73.99833
80,"10013",40.7174,-73.9989
81,"10014",40.73381,-74.00505
82,"10004",40.70538,-74.01139
83,"10005",40.70602,-74.00887
84,"10006",40.70771,-74.01316
85,"10007",40.71388,-74.00802
86,"10038",40.70912,-74.00537
87,"10280",40.70824,-74.01764
88,"10002",40.71843,-73.99444
89,"10003",40.72452,-73.99119
90,"10009",40.72626,-73.98086
91,"10021",40.76846,-73.95888
92,"10028",40.77594,-73.95254
93,"10044",40.76241,-73.94954
94,"10065",40.76486,-73.95674
95,"10075",40.77284,-73.95522
96,"10128",40.78133,-73.95034
97,"10023",40.77704,-73.98199
98,"10024",40.78635,-73.97543
99,"10025",40.79818,-73.96743
100,"10031",40.82518,-73.94904
101,"10032",40.83798,-73.94135
102,"10033",40.84971,-73.93579
103,"10034",40.86668,-73.92149
104,"10040",40.85808,-73.92994
105,"11361",40.76276,-73.77285
106,"11362",40.76144,-73.73341
107,"11363",40.77226,-73.74566
108,"11364",40.7467,-73.75986
109,"11354",40.76621,-73.82533
110,"11355",40.75478,-73.82336
111,"11356",40.7853,-73.84488
112,"11357",40.78663,-73.80969
113,"11358",40.76138,-73.79756
114,"11359",40.7926,-73.77797
115,"11360",40.78021,-73.78056
116,"11365",40.73758,-73.79633
117,"11366",40.72684,-73.79738
118,"11367",40.7261,-73.81891
119,"11412",40.6981,-73.75912
120,"11423",40.71536,-73.76746
121,"11432",40.71184,-73.79366
122,"11433",40.69756,-73.7884
123,"11434",40.67631,-73.77527
124,"11435",40.70417,-73.81126
125,"11436",40.67563,-73.79635
126,"11101",40.74892,-73.93912
127,"11102",40.77028,-73.924
128,"11103",40.76303,-73.91426
129,"11104",40.74403,-73.92119
130,"11105",40.77683,-73.91037
131,"11106",40.7614,-73.92806
132,"11374",40.72805,-73.86066
133,"11375",40.72255,-73.84545
134,"11379",40.71833,-73.87964
135,"11385",40.704,-73.89949
136,"11691",40.601,-73.75582
137,"11692",40.59247,-73.79277
138,"11693",40.59105,-73.81354
139,"11694",40.57847,-73.84172
140,"11695",40.79412,-73.77883
141,"11697",40.55999,-73.91522
142,"11004",40.74409,-73.71107
143,"11005",40.75777,-73.71869
