Borough,Neighborhood,Zip,naics,est,Median Income,White Pop,Afr Am Pop,Asian Pop,Native Am Pacific Pop,Other Pop,Multi Race Pop,Lat,Lng,Total
Brooklyn,Borough Park,11204,713940,2,47341,46888,891,25264,0,0,1305,40.61723,-73.98524,74348
Brooklyn,Borough Park,11218,713940,1,64152,43954,6272,15129,0,0,3061,40.64265,-73.97566,68416
Brooklyn,Borough Park,11219,713940,3,37665,62415,1065,23062,0,0,1115,40.63324,-73.99563,87657
Brooklyn,Borough Park,11230,713940,3,46013,62650,6595,12784,0,0,1773,40.62285,-73.96363,83802
Bronx,Bronx Park and Fordham,10458,713940,2,32129,16315,17243,2330,31,31,3822,40.86302,-73.88909,39772
Bronx,Bronx Park and Fordham,10467,713940,5,35381,21948,36295,6120,53,53,3974,40.87356,-73.87147,68443
Bronx,Bronx Park and Fordham,10468,713940,1,35398,10362,16180,2735,9,9,3117,40.86638,-73.89984,32412
Brooklyn,Bushwick and Williamsburg,11206,713940,8,34122,40751,23547,6028,47,47,3213,40.70175,-73.94388,73633
Brooklyn,Bushwick and Williamsburg,11221,713940,2,47170,23617,43466,3135,16,16,2599,40.69107,-73.92792,72849
Brooklyn,Bushwick and Williamsburg,11237,713940,1,51269,23952,8906,4205,24,24,1600,40.70188,-73.91955,38711
Brooklyn,Canarsie and Flatlands,11234,713940,7,79490,41216,45387,5926,9,9,1428,40.62185,-73.92252,93975
Brooklyn,Canarsie and Flatlands,11236,713940,3,63700,5973,87124,2767,0,0,1132,40.6417,-73.90304,96996
Bronx,Central Bronx,10453,713940,1,24421,7514,26277,1472,41,41,1929,40.85226,-73.91093,37274
Brooklyn,Central Brooklyn,11212,713940,1,25677,5428,68660,988,8,8,1733,40.66188,-73.9154,76825
Brooklyn,Central Brooklyn,11213,713940,2,40604,14378,44560,1627,0,0,1944,40.67098,-73.93595,62509
Brooklyn,Central Brooklyn,11216,713940,3,56025,15019,34693,2781,16,16,2199,40.68005,-73.94939,54724
Brooklyn,Central Brooklyn,11238,713940,8,79013,23996,22640,3300,19,19,2823,40.6798,-73.96348,52797
Manhattan,Central Harlem,10026,713940,3,54349,11031,21223,2254,31,31,1385,40.80484,-73.95284,35955
Manhattan,Central Harlem,10027,713940,4,45536,20531,26358,6187,5,5,2490,40.81092,-73.9521,55576
Manhattan,Central Harlem,10030,713940,1,36118,4713,20007,535,65,65,1785,40.81832,-73.94277,27170
Manhattan,Central Harlem,10037,713940,2,39979,2137,15537,520,23,23,1165,40.81291,-73.93801,19405
Manhattan,Central Harlem,10039,713940,1,34197,3592,17202,504,10,10,1209,40.82538,-73.93825,22527
Queens,Central Queens,11365,713940,4,63455,16089,3454,20339,16,16,1596,40.73758,-73.79633,41510
Queens,Central Queens,11366,713940,2,67115,5902,806,6734,0,0,444,40.72684,-73.79738,13886
Queens,Central Queens,11367,713940,1,58924,24400,3502,11519,0,0,1863,40.7261,-73.81891,41284
Manhattan,Chelsea and Clinton,10001,713940,20,85221,14923,2626,5242,5,5,527,40.74949,-73.98935,23328
Manhattan,Chelsea and Clinton,10011,713940,33,123208,39858,2748,5289,4,4,1459,40.74076,-73.99875,49362
Manhattan,Chelsea and Clinton,10018,713940,13,107861,5711,576,2847,0,0,411,40.75352,-73.98917,9545
Manhattan,Chelsea and Clinton,10019,713940,29,99063,28668,2551,6850,53,53,1486,40.76498,-73.98447,39661
Manhattan,Chelsea and Clinton,10020,713940,2,-666666666,0,0,0,0,0,0,40.75887,-73.97961,0
Manhattan,Chelsea and Clinton,10036,713940,22,93707,17332,2049,5083,0,0,587,40.75918,-73.9884,25051
Manhattan,East Harlem,10029,713940,2,34015,26938,24772,7717,188,188,2652,40.79204,-73.94433,62455
Manhattan,East Harlem,10035,713940,2,27932,7505,14127,1830,37,37,1489,40.80136,-73.93806,25025
