,est,naics,Zip,Borough,Neighborhood,Median Income,WhitePop,AfrAmPop,AsianPop,NativeAmPacificPop,OtherPop,MultiRacePop,LatPop,AlaskanAmerIndPop,TotalPop,Lat,Lng
645,2,713940,11204,Brooklyn,Borough Park,47341.0,44299,818,25131, -   ,227,1127,8330,124,80056,40.61723,-73.98524
646,2,713940,11204,Brooklyn,Borough Park,47341.0,44299,818,25131, -   ,227,1127,8330,124,80056,40.61723,-73.98524
712,1,713940,11218,Brooklyn,Borough Park,64152.0,38915,6059,15033, -   ,293,2358,14247,55,76960,40.64265,-73.97565999999999
713,3,713940,11219,Brooklyn,Borough Park,37665.0,57660,886,22982, -   ,73,487,11753,138,93979,40.63324,-73.99563
714,3,713940,11219,Brooklyn,Borough Park,37665.0,57660,886,22982, -   ,73,487,11753,138,93979,40.63324,-73.99563
715,3,713940,11219,Brooklyn,Borough Park,37665.0,57660,886,22982, -   ,73,487,11753,138,93979,40.63324,-73.99563
754,3,713940,11230,Brooklyn,Borough Park,46013.0,59782,6435,12708, -   ,419,1360,9245,308,90257,40.62285,-73.96363000000001
755,3,713940,11230,Brooklyn,Borough Park,46013.0,59782,6435,12708, -   ,419,1360,9245,308,90257,40.62285,-73.96363000000001
756,3,713940,11230,Brooklyn,Borough Park,46013.0,59782,6435,12708, -   ,419,1360,9245,308,90257,40.62285,-73.96363000000001
551,2,713940,10458,Bronx,Bronx Park and Fordham,32129.0,7743,14946,2177,31,339,963,58883,75,85157,40.86302,-73.88909
552,2,713940,10458,Bronx,Bronx Park and Fordham,32129.0,7743,14946,2177,31,339,963,58883,75,85157,40.86302,-73.88909
577,5,713940,10467,Bronx,Bronx Park and Fordham,35381.0,9398,31693,6056, -   ,636,1091,53713,131,102718,40.87356,-73.87147
578,5,713940,10467,Bronx,Bronx Park and Fordham,35381.0,9398,31693,6056, -   ,636,1091,53713,131,102718,40.87356,-73.87147
579,5,713940,10467,Bronx,Bronx Park and Fordham,35381.0,9398,31693,6056, -   ,636,1091,53713,131,102718,40.87356,-73.87147
580,5,713940,10467,Bronx,Bronx Park and Fordham,35381.0,9398,31693,6056, -   ,636,1091,53713,131,102718,40.87356,-73.87147
581,5,713940,10467,Bronx,Bronx Park and Fordham,35381.0,9398,31693,6056, -   ,636,1091,53713,131,102718,40.87356,-73.87147
582,1,713940,10468,Bronx,Bronx Park and Fordham,35398.0,2582,13133,2684, -   ,466,738,57663,391,77657,40.86638,-73.89984
651,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
652,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
653,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
654,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
655,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
656,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
657,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
658,8,713940,11206,Brooklyn,Bushwick and Williamsburg,34122.0,28701,17777,5932,47,195,1079,33857,179,87767,40.70175,-73.94388000000001
718,2,713940,11221,Brooklyn,Bushwick and Williamsburg,47170.0,11821,36985,3098, -   ,305,1206,30934,187,84536,40.69107,-73.92792
719,2,713940,11221,Brooklyn,Bushwick and Williamsburg,47170.0,11821,36985,3098, -   ,305,1206,30934,187,84536,40.69107,-73.92792
780,1,713940,11237,Brooklyn,Bushwick and Williamsburg,51269.0,9789,3840,4107,13,217,754,33492,107,52319,40.701879999999996,-73.91955
763,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
764,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
765,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
766,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
767,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
768,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
769,7,713940,11234,Brooklyn,Canarsie and Flatlands,79490.0,37070,43346,5867,9,376,1082,9913,78,97741,40.62185,-73.92251999999999
777,3,713940,11236,Brooklyn,Canarsie and Flatlands,63700.0,4450,85098,2733, -   ,413,930,6638,371,100633,40.6417,-73.90304
778,3,713940,11236,Brooklyn,Canarsie and Flatlands,63700.0,4450,85098,2733, -   ,413,930,6638,371,100633,40.6417,-73.90304
779,3,713940,11236,Brooklyn,Canarsie and Flatlands,63700.0,4450,85098,2733, -   ,413,930,6638,371,100633,40.6417,-73.90304
544,1,713940,10453,Bronx,Central Bronx,24421.0,761,22623,1411,7,308,452,56561,109,82232,40.85226,-73.91093000000001
678,1,713940,11212,Brooklyn,Central Brooklyn,25677.0,1116,64796,975,8,409,679,14713,135,82831,40.66188,-73.9154
679,2,713940,11213,Brooklyn,Central Brooklyn,40604.0,13513,42082,1574, -   ,337,1313,7583,101,66503,40.67098,-73.93595
680,2,713940,11213,Brooklyn,Central Brooklyn,40604.0,13513,42082,1574, -   ,337,1313,7583,101,66503,40.67098,-73.93595
701,3,713940,11216,Brooklyn,Central Brooklyn,56025.0,13402,33230,2763, -   ,284,1412,6219,100,57410,40.68005,-73.94939000000001
702,3,713940,11216,Brooklyn,Central Brooklyn,56025.0,13402,33230,2763, -   ,284,1412,6219,100,57410,40.68005,-73.94939000000001
703,3,713940,11216,Brooklyn,Central Brooklyn,56025.0,13402,33230,2763, -   ,284,1412,6219,100,57410,40.68005,-73.94939000000001
781,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
782,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
783,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
784,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
785,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
786,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
787,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
788,8,713940,11238,Brooklyn,Central Brooklyn,79013.0,22057,21170,3276,11,342,2318,6191,33,55398,40.6798,-73.96348
389,3,713940,10026,Manhattan,Central Harlem,54349.0,8184,19938,2254, -   ,78,919,8694,38,40105,40.804840000000006,-73.95284000000001
390,3,713940,10026,Manhattan,Central Harlem,54349.0,8184,19938,2254, -   ,78,919,8694,38,40105,40.804840000000006,-73.95284000000001
391,3,713940,10026,Manhattan,Central Harlem,54349.0,8184,19938,2254, -   ,78,919,8694,38,40105,40.804840000000006,-73.95284000000001
392,4,713940,10027,Manhattan,Central Harlem,45536.0,17126,24513,6131,5,183,1538,15761,108,65365,40.81092,-73.9521
393,4,713940,10027,Manhattan,Central Harlem,45536.0,17126,24513,6131,5,183,1538,15761,108,65365,40.81092,-73.9521
394,4,713940,10027,Manhattan,Central Harlem,45536.0,17126,24513,6131,5,183,1538,15761,108,65365,40.81092,-73.9521
395,4,713940,10027,Manhattan,Central Harlem,45536.0,17126,24513,6131,5,183,1538,15761,108,65365,40.81092,-73.9521
412,1,713940,10030,Manhattan,Central Harlem,36118.0,3068,17860,466,65,165,830,7679,30,30163,40.81832,-73.94277
446,2,713940,10037,Manhattan,Central Harlem,39979.0,1188,13963,520, -   ,9,527,4977, -   ,21184,40.812909999999995,-73.93800999999999
447,2,713940,10037,Manhattan,Central Harlem,39979.0,1188,13963,520, -   ,9,527,4977, -   ,21184,40.812909999999995,-73.93800999999999
456,1,713940,10039,Manhattan,Central Harlem,34197.0,1693,15799,504,10,12,721,8322,142,27203,40.825379999999996,-73.93825
822,4,713940,11365,Queens,Central Queens,63455.0,12175,3053,20238,16,541,879,8540,123,45565,40.73758,-73.79633000000001
823,4,713940,11365,Queens,Central Queens,63455.0,12175,3053,20238,16,541,879,8540,123,45565,40.73758,-73.79633000000001
824,4,713940,11365,Queens,Central Queens,63455.0,12175,3053,20238,16,541,879,8540,123,45565,40.73758,-73.79633000000001
825,4,713940,11365,Queens,Central Queens,63455.0,12175,3053,20238,16,541,879,8540,123,45565,40.73758,-73.79633000000001
826,2,713940,11366,Queens,Central Queens,67115.0,5367,735,6672, -   , -   ,386,1148, -   ,14308,40.72684,-73.79738
827,2,713940,11366,Queens,Central Queens,67115.0,5367,735,6672, -   , -   ,386,1148, -   ,14308,40.72684,-73.79738
828,1,713940,11367,Queens,Central Queens,58924.0,20206,3095,11309, -   , -   ,1164,7622,100,43496,40.7261,-73.81891
0,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
1,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
2,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
3,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
4,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
5,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
6,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
7,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
8,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
9,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
10,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
11,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
12,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
13,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
14,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
15,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
16,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
17,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
18,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
19,20,713940,10001,Manhattan,Chelsea and Clinton,85221.0,12349,2489,5213,5,51,329,3452,59,23947,40.74949,-73.98935
110,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
111,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
112,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
113,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
114,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
115,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
116,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
117,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
118,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
119,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
120,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
121,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
122,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
123,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
124,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
125,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
126,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
127,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
128,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
129,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
130,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
131,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
132,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
133,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
134,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
135,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
136,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
137,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
138,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
139,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
140,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
141,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
142,33,713940,10011,Manhattan,Chelsea and Clinton,123208.0,35997,2201,5269,4,417,1175,5640,8,50711,40.740759999999995,-73.99875
242,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
243,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
244,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
245,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
246,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
247,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
248,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
249,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
250,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
251,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
252,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
253,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
254,13,713940,10018,Manhattan,Chelsea and Clinton,107861.0,4439,518,2847, -   ,24,280,1611, -   ,9719,40.75352,-73.98917
255,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
256,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
257,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
258,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
259,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
260,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
261,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
262,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
263,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
264,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
265,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
266,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
267,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
268,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
269,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
270,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
271,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
272,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
273,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
274,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
275,29,713940,10019,Manhattan,Chelsea and Clinton,99063.0,24189,2235,6813,38,445,1096,6697,79,41592,40.76498,-73.98447
